criticID,googleID,stars,link,publisher,name
kalleKinnunen,5,4,Suomen Kuvalehti 6/2020,Suomen Kuvalehti,Kalle Kinnunen
hannuLiekso,5,3,Episodi 4/2020,Episodi,Hannu Liekso
jussiHuhtala,5,4,Episodi 4/2020,Episodi,Jussi Huhtala
nikoIkonen,5,4,Episodi 4/2020,Episodi,niko Ikonen
avola,6,3,Helsingin Sanomat 13.3.2020,Helsingin Sanomat,Pertti Avola
päiviValotie,6,3,Turun Sanomat 13.3.2020,Turun Sanomat,Päivi Valotie
jarnoLindemark,6,2,Etelä-Suomen Sanomat 13.3.2020,Etelä-Suomen Sanomat,Jarno Lindemark
kristerUggedal,6,3,Hufvudstadsbladet 13.3.2020,Hufvudstadsbladet,Krister Uggeldahl
timoAlho,6,4,Kymen Sanomat 13.3.2020,Kymen Sanomat,Timo Alho
heini lehtosalo,6,5,Eeva 3/2020,Eeva,Heini Lehtosalo
anneVälinoro,6,3.5,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/kuusikymppisilla-menee-lujaa-ranskassa-la-belle-epoque-on-hilpea-aikamatka-ikaihmisten-petipuuhiin/,Kulttuuritoimitus.fi,Anne Välinoro
martaBalaga,6,4,Episodi 4/2020,Episodi,Marta Balaga
nikoIkonen,6,4,Episodi 4/2020,Episodi,Niko Ikonen
hannuLiekso,6,3,Episodi 4/2020,Episodi,Hannu Liekso
leenaVirtanen,7,3,Helsingin Sanomat 13.3.2020,Helsingin Sanomat,Leena Virtanen
päiviValotie,7,3,Turun Sanomat 13.3.2020,Turun Sanomat,Päivi Valotie
saraEH,7,4,Hufvudstadsbladet 13.3.2020,Hufvudstadsbladet,Sara Ehnholm Hielm
heikkiIkonen,7,4,Hämeen Sanomat 13.3.2020,Hämeen Sanomat,Heikki Ikonen
timoAlho,7,3,Kymen Sanomat 13.3.2020,Kymen Sanomat,Timo Alho
heini lehtosalo,7,4,Eeva 3/2020,Eeva,Heini Lehtosalo
jesseRaatikainen,7,4,https://www.episodi.fi/elokuvat/weathering-with-you/,Episodi,Jesse Raatikainen
eijaNiskanen,7,4,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/weathering-with-you-on-hayao-miyazakin-manttelinperijan-makoto-shinkain-uusin-mega-animehitti/,Kulttuuritoimitus.fi,Eija Niskanen
akiLehti,7,2,https://muropaketti.com/elokuvat/arvostelu-weathering-with-you-on-uskomattoman-kaunis-anime-elokuva-josta-tuli-likainen-olo/,Muropaketti,Aki Lehti
nikoIkonen,7,4,Episodi 4/2020,Episodi,Niko Ikonen
jouniVikman,7,4,Episodi 4/2020,Episodi,Jouni Vikman
miskaRantanen,8,3,Helsingin Sanomat 13.3.2020,Helsingin Sanomat,Miska Rantanen
pekkaEronen,8,3,Aamulehti 13.3.2020,Aamulehti,Pekka Eronen
hwRehnstöm,8,2,Turun Sanomat 13.3.2020,Turun Sanomat,Henri Waltter Rehnström
